평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000003,241014,대진대학교 중앙도서관,경기,포천시,734660,3,3666,78282,580737806
2022,LIBTYPE000003,241068,대한신학대학원대학교 도서관,경기,안양시,15890,0,48,130,300000
2022,LIBTYPE000003,211019,덕성여자대학교 도서관,서울,도봉구,776386,3,2037,36736,496384574
2022,LIBTYPE000003,224007,동강대학교 도서관,광주,북구,108881,2,411,7441,58979030
2022,LIBTYPE000003,247011,동국대학교 WISE캠퍼스 학술정보원,경북,경주시,801177,0,1596,38152,821371840
2022,LIBTYPE000003,211020,동국대학교 중앙도서관,서울,중구,1666856,7,6809,140207,2435963518
2022,LIBTYPE000003,241016,동남보건대학교 학술정보관,경기,수원시,157733,0,159,1361,51031799
2022,LIBTYPE000003,211021,동덕여자대학교 춘강학술정보관,서울,성북구,571270,6,1295,31362,602447514
2022,LIBTYPE000003,221030,동명대학교 중앙도서관,부산,남구,582914,3,1824,18024,429999080
2022,LIBTYPE000003,211101,동방문화대학원대학교 도서관,서울,성북구,26718,0,106,873,21948840
2022,LIBTYPE000003,221007,동서대학교 민석도서관,부산,사상구,836526,9,1056,17310,546810195
2022,LIBTYPE000003,241013,동서울대학교 학산도서관,경기,성남시,236601,1,453,12963,147437140
2022,LIBTYPE000003,246001,동신대학교 중앙도서관,전남,나주시,613926,1,1027,15117,368118000
2022,LIBTYPE000003,221008,동아대학교 도서관,부산,사하구,1433567,7,5993,69932,1880815959
2022,LIBTYPE000003,241062,동아방송예술대학교 도서관,경기,안성시,118128,1,1455,23791,101839990
2022,LIBTYPE000003,246015,동아보건대학교 도서관,전남,영암군,49441,1,14,275,27172680
2022,LIBTYPE000003,247028,동양대학교 중앙도서관,경북,영주시,366213,3,1052,35868,236740173
2022,LIBTYPE000003,211022,동양미래대학교 도서관,서울,구로구,288371,1,561,5358,186494490
2022,LIBTYPE000003,248007,동원과학기술대학교 도서관,경남,양산시,82958,0,254,4298,50959000
2022,LIBTYPE000003,241058,동원대학교 도서관,경기,광주시,107167,1,304,6392,71114550
2022,LIBTYPE000003,221009,동의과학대학교 도서관,부산,부산진구,177227,2,1151,14176,149775650
2022,LIBTYPE000003,221010,동의대학교 중앙도서관,부산,부산진구,1274229,13,3552,45795,902323710
